Amostra;Forca
1;68,9
1;81,5
1;78,2
1;80,8
1;81,5
2;69,8
2;68,6
2;80,4
2;84,3
2;83,9
3;78,5
3;85,2
3;78,4
3;80,3
3;81,7
4;76,9
4;86,1
4;86,9
4;94,4
4;83,9
5;93,6
5;81,6
5;87,8
5;79,6
5;71
6;65,5
6;86,8
6;73,4
6;82,6
6;71,4
7;78,1
7;65,7
7;83,7
7;93,7
7;93,4
8;74,9
8;72,6
8;81,6
8;87,2
8;72,7
9;78,1
9;77,1
9;67
9;75,7
9;76,8
10;78,7
10;85,4
10;77,7
10;90,7
10;76,7
11;85
11;60,2
11;68,5
11;71,1
11;82,4
12;86,4
12;79,2
12;79,8
12;86
12;75,4
13;78,5
13;99
13;78,3
13;71,4
13;81,8
14;68,8
14;62
14;82
14;77,5
14;76,1
15;83
15;83,7
15;73,1
15;82,2
15;95,3
